Annex 18,,,,,,,,,,,,,,,,,,,
Monetary Statistics (A),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(Rs. In Million),,,,,,,
"Fiscal
 Year",Mid-Month,"Broad Money
 (M2)",% Change (Y on Y),"Money Supply
(M1+)",% Change (Y on Y),Currency with Public,% Change (Y on Y),Saving and Call Deposit,% Change (Y on Y),Time Deposit,% Change (Y on Y),"Total 
Deposits","% Change 
(Y on Y)",,,,,,
,January,5326723.885734305,14.868810005751104,2680765.1654987894,4.3480842801097985,532505.4629929579,1.7151502915243737,1740372.0968220378,2.2997668894563885,2645958.7235431178,27.937591639099253,4841795.2102504475,15.502517026528192,,,,,,
,February,5328095.169785773,14.170039616358618,2672771.603426268,2.85178193583271,546303.9481960355,3.7263892057088586,1729988.1347670448,-0.17130690715277402,2655323.5701625263,28.391656043312015,4830067.929263357,14.582715559184647,,,,,,
,March,5343316.33504682,13.381579519439738,2623543.880688106,-0.6343733309862375,536367.3886443606,0.9414686185404735,1683636.5948145255,-4.395195005562458,2719772.44988615,31.238352572168655,4854845.771245786,13.950876396521588,,,,,,
,April,5371654.788183282,11.141421918498697,2605223.68681725,-4.516863771883091,526189.2123926408,-3.4168070693527826,1658935.1252457718,-8.75142830318619,2766431.1057436788,31.44025617971463,4898958.112241193,12.249231715180889,,,,,,
,May,5382830.4482911965,10.240374682349533,2595920.291484433,-4.335445123324122,544430.0043449906,-4.912017425454105,1641644.1972701394,-8.206120302122248,2786910.1569365007,28.47363500940808,4894052.7239744095,11.474369868992083,,,,,,
,June,5386998.1492500445,9.705060493657918,2549108.6201834017,-7.833136565048683,513399.35755578306,-8.674176353881617,1608873.9114058232,-12.080019022294586,2837889.524056256,32.322075986421254,4928730.253411338,11.309739024146271,,,,,,
,July,5544372.7339004325,6.8088771873211575,2674292.4791063042,-10.342614802535016,505902.8864076005,-11.551072966375994,1720438.5429296398,-10.909929813065784,2870080.251829599,29.9774132201373,5082769.302173119,9.008457758036604,,,,,,
2022/23,August,5439433.993661055,6.434070428732304,2476364.603850057,-12.321096595887013,503797.84821810253,-11.115051283594099,1617396.6371060014,-15.116493073766051,2963069.3441728638,29.603497002435788,4982002.304522886,8.618064043220548,,,,,,
,September,5485832.9513178645,5.47683284338274,2487951.0924385916,-13.394026373819104,495886.9180680525,-9.69642468365692,1609870.4109189776,-17.789945190359205,2997881.861885035,28.760659392582216,5039109.381931841,7.353476609272228,,,,,,
,October,5588474.582156621,5.409742390569385,2547306.1667760997,-12.4219433969003,532216.2781697726,-14.903105694246822,1636336.8127888138,-14.855283251580229,3041168.4187644995,27.083062414898862,5105455.4709630925,8.193247659059576,,,,,,
