,Annex 10,,,,,
,Foreign Exchange Reserves (Monthly Series),,,,,
,Fiscal Year,Mid-Month,Gross Foreign Exchange Reserves (Rs. In Billion),Gross Foreign Exchange Reserves (USD In Million),Import Capacity in Months,
,,,,,Merchandise,Merchandise & Services
,,January,1095.975144605126,9692.033468386326,9.592255518670758,8.422641315722691
,,February,1096.68142312473,9640.307868536647,9.66694204011084,8.488059922171331
,,March,1136.5145496932828,9595.698663401576,9.972669030600073,8.775063622425808
,,April,1155.89536713109,9493.227391024046,10.735564501157816,9.453736570694236
,,May,1235.25351106729,10250.215841567444,12.23546990754878,10.76869342751888
,,June,1306.4606,10792.7,13.286519887289323,11.705110078226005
,,July,1401.8362572825597,11646.060125301652,14.386889847329877,12.680793849301457
,2020/21,August,1436.7343993528427,12017.853612319888,17.279366850354066,15.550436962346586
,,September,1433.6678472311007,12197.276222827128,16.53122410638039,14.933659986220134
,,October,1470.2606569218387,12553.455062515697,15.573045509283839,14.07081170998388
,,November,1506.0572639750596,12648.503098807923,15.44864911391011,13.952435288501098
,,December,1474.3376713360965,12544.351836434073,14.447974881064185,13.039891249841128
,,January,1493.7504337513406,12775.83333690849,13.923348177591215,12.618706255537553
,,February,1462.0312274593082,12574.449363200381,13.076117530750349,11.864826671537504
,,March,1436.5434503334864,12366.937416782768,12.504939365266392,11.332896478609502
,,April,1433.2727543640592,11963.879418731714,11.90451491027523,10.788639433881608
,,May,1390.8380405953285,11869.244244711797,11.3676904972449,10.303084905163375
,,June,1365.6482387551437,11710.24042835829,11.13839983960985,10.111641009365167
,,July,1399.0253158889254,11752.5648176153,11.198163062758612,10.167803303004446
,2021/22,August,1353.8182727778992,11395.776706884673,9.304402603992605,8.315484741945827
,,September,1306.9547219679962,11114.505671978875,8.599316033834134,7.74195731840587
,,October,1319.3219252500717,10956.003365305362,8.559158229131512,7.750295033067592
,,November,1244.8470104579687,10445.099936717308,7.9275695433525835,7.186059589143043
,,December,1214.0336693107533,10001.101155867478,7.489503633195462,6.804457642582865
,,January,1165.7982114111044,9861.260458561193,7.226183412929144,6.552326682104426
,,February,1173.018456412748,9724.908443149956,7.373170849836939,6.671241388289886
,,March,1170.9963935819212,9555.25412959544,7.365811196901872,6.641135985647774
,,April,1167.9237555939374,9587.290720685745,7.358154211267616,6.595984621712896
,,May,1146.8788172867182,9254.246891686582,7.326704021264758,6.550487544432319
,,June,1176.8442402401279,9425.310269422776,7.524763894079977,6.712017349672298
,,July,1215.8021562667964,9512.574573717207,7.787612795257495,6.935415438196968
,2022/23,August,1197.8498812557496,9397.849374358619,9.433377306336244,8.01074702440887
,,September,1189.1550933243411,9325.243830962523,8.980147868656779,7.719341299334039
,,October,1246.2199589714548,9457.539341059839,9.63925587976204,8.291258457211653
,,November,1246.270701086775,9604.428954121262,9.678828966176878,8.34521413223669
,,December,1292.5561506168551,9796.545025139118,10.039179765830685,8.65829519258712
,,January,1337.2861818058645,10276.540242879155,10.413946211711458,8.983724602033151
,,February,1383.3345986689367,10479.807565673762,10.799695441170876,9.29979606142795
,,March,1401.2070780975046,10663.67639343611,10.835363250652877,9.300833822887839
,,April,1433.726173927157,10916.97383634476,10.957065942014784,9.383347365644152
,,May,1470.3344217610268,11183.80179326863,11.212647951394676,9.609770227336245
,,June,1480.8749177280101,11273.40832618765,11.198618358477678,9.56598888570263
,,July,1539.362408594653,11708.849232483859,11.670725876873048,9.957826390724591
,2023/24,August,1573.124938861005,11852.067647562759,12.500481006732134,10.283808561788105
,,September,1598.9005915073901,12012.776795697895,12.638417641925711,10.314733038330491
,,October,1643.0939849344907,12330.911706825445,12.418617960011677,10.270258098226792
,,November,1696.7774460153678,12753.889401799213,13.602103368850235,11.308447014575663
,,December,1767.0375564694482,13305.003813488805,14.119397153390018,11.785082773397217
,,January,1816.5721964533177,13691.379231634894,14.540058525650371,12.099227144648937
,,February,1844.9370325569269,13886.324195069446,14.685839416337696,12.275769085956316
