Annex 20,,,,,,,,,,
Interest Rates,,,,,,,,,,
Fiscal Year,Mid-Month,Interbank Rate (Commercial Bank),Weighted Average 91 Days TB rate,"Weighted Average Deposit Rate
(Commercial Bank)","Weighted Average Lending Rate
(Commercial Bank)","Base Rate 
(Commercial Bank)",,,,
,September,2.9979,2.894445208979741,5.531244196027666,9.521362313827812,7.485474040732224,,,,
,October,3,2.964171567436209,5.237356153801667,9.333785129124424,7.287561768605455,,,,
,November,2.902751155477031,2.7738,5.012935457433992,9.070682268687692,7.02,,,,
,December,2.9936721493670886,2.8541,4.780908646976548,8.89688266383858,6.818919733963023,,,,
,January,2.9988,2.8145,4.752150933556466,8.692166727871259,6.64895488723069,,,,
,February,3,2.8562,4.622200068405988,8.545012960543449,6.46269017018024,,,,
,March,3,2.9324,4.539934317575964,8.401583365481748,6.338308921990858,,,,
,April,3,3.0613,4.449992384087778,8.219215426100392,6.288971160247698,,,,
,May,2.99971975712284,2.9528,4.37203160253861,8.10677168677882,6.16737693927695,,,,
,June,2.9922,2.9366,4.294696153908364,7.99369434046947,6.088170967321515,,,,
,July,2.9163,2.9463,4.19094269560633,7.851180327695915,6.022046799989949,,,,
2025/26,August,2.7492046029070996,2.6539,4.015412981449491,7.755916639652328,5.7849189904499605,,,,
,September,2.7485,2.1347,3.9627673369850474,7.66137137213452,5.716640780399368,,,,
,October,2.75,1.9123,3.8528151668117374,7.502424315547212,5.564456647269467,,,,
,November,2.75,2.365,3.7431717329478724,7.376444888405675,5.441248936311107,,,,
,December,2.7409946370967737,2.3729,3.6612251970214276,7.261655375274568,5.3832636655591575,,,,
,January,2.75,2.3504,3.5621877432001683,7.116897116689119,5.2919990286006895,,,,
,February,2.75,2.45155,3.5052065488406976,7.000272440090749,5.123501750432599,,,,
,March,2.6928,2.4668,3.447437540823216,6.8971129639818844,5.100950233484057,,,,
,April,2.75,2.6059604932222764,3.3950232665271676,6.766859815473653,5.057332529879396,,,,
,May,2.75,2.6306,3.3478763556353743,6.727633925454733,4.9711854083163365,,,,
