,Annex 9,,,,,,
,Direction of Foreign Trade (Monthly Series),,,,,,
,(Rs. in million),,,,,,
,Fiscal Year,Mid-Month (Cumulative),Total Exports,,Total Import,,Total Trade Balance
,,,Amount,% Change*,Amount,% Change*,
,,October,65052.834116599995,109.53629919727841,478523.2205222,63.7265022479939,-413470.3864056
,,November,82124.2949517,104.28896318363994,650294.3141943001,61.567747114806636,-568170.0192426001
,,December,102920.5721476,105.61246846695349,838408.2437505,59.54542443409103,-735487.6716029
,,January,118850.96065060001,95.48108202920307,999342.7093589,51.130384513825014,-880491.7487083
,,February,131656.0113265,88.3030750763653,1147464.4378248001,42.78282283518453,-1015808.4264983002
,,March,147746.066417,82.90189256378649,1308734.8583983001,38.63889245711902,-1160988.7919813
,,April,160572.90991470002,69.43949279049473,1466662.0036813,31.965808523267224,-1306089.0937666
,,May,173348.2122372,59.79775271640189,1604652.520414,27.951478545438313,-1431304.3081768
,,June,185837.0184247,53.262639600717,1763223.0990131001,27.45899975795094,-1577386.0805884001
,,July,200030.9620184,41.74119777173487,1920448.3528256002,24.717633361535885,-1720417.3908072002
,2022/23,August,14809.7003972,-28.679919031529792,131286.0657588,-12.900837488751545,-116476.3653616
,,September,28680.4372506,-34.87578665799993,273599.6524723,-13.009612513733881,-244919.2152217
,,October,41820.1926337,-35.713496265601684,400998.30212159996,-16.20086864666653,-359178.1094879
,,November,54774.316361699995,-33.303151772670226,532691.3818901,-18.084570284134728,-477917.06552839995
,,December,67304.5021957,-34.60539444030921,664746.4509995,-20.71327352104134,-597441.9488038
,,January,80807.42094180001,-32.00945074448411,792666.2904713,-20.681235471281656,-711858.8695295
,,February,93432.3385325,-29.03298710698998,919165.3490573,-19.895962022167513,-825733.0105248
,,March,104796.19320960001,-29.070062065935364,1058385.5312369,-19.129109731805492,-953589.3380273
,,April,118279.9624795,-26.33878121637516,1201508.9930066,-18.0786718418538,-1083229.0305271
,,May,130900.0374366,-24.487229636101638,1335322.46444,-16.78432262110633,-1204422.4270034
,,June,143586.5445645,-22.735230159388088,1480981.1288123,-16.00716156445402,-1337394.5842478
,,July,157140.6956762,-21.441813761938867,1611731.7722593,-16.075234729019307,-1454591.0765831
,2023/24,August,13528.6559182,-8.65003642641009,129238.9713658,-1.5592625014454575,-115710.31544759999
,,September,26447.033095699997,-7.787203993388488,259749.8986513,-5.062050955054559,-233302.8655556
,,October,40874.8911792,-2.260394787704172,407758.9756635,1.6859606402647387,-366884.0844843
,,November,50565.38095390001,-7.684140464677739,512503.47463989997,-3.789794229178085,-461938.093686
,,December,63207.43469750001,-6.087360227829976,642208.9651934,-3.3903882859717527,-579001.5304959001
,,January,74968.078862,-7.226244832149376,768166.5722415,-3.090798552217109,-693198.4933795
,,February,86830.911982,-7.065462188130638,897943.9010079,-2.308773722939492,-811112.9890259
,,March,100617.4447975,-3.9875001983537857,1030222.701352,-2.660923553252573,-929605.2565545
,,April,113946.007184,-3.6641500425324836,1167369.809905,-2.841358932834254,-1053423.802721
,,May,126172.9095754,-3.611250198067779,1303357.0413531999,-2.393835492028927,-1177184.1317778
,,June,139261.6946119,-3.0120161786171162,1453704.1942393999,-1.8418151347259548,-1314442.4996274998
,,July,152380.6056203,-3.0291898832550235,1592985.5310723002,-1.1631117230332833,-1440604.9254520002
,2024/25,August,12226.1473895,-9.627774825344959,128377.1212308,-0.6327877976549989,-116150.9738413
,,September,25093.1026957,-5.119403734629628,262542.6263791,1.0751602762121308,-237449.5236834
,,October,38378.7171806,-6.106863961194421,390752.32207520003,-4.170761308350606,-352373.60489460005
,,November,52670.7105455,4.163579017667047,513388.0395356,0.1725968582596522,-460717.3289901
,,December,73659.7715867,16.5365624142525,661488.5950889001,3.002080466082262,-587828.8235022001
,,January,98789.24759110001,31.775082262611562,822370.5478716,7.05627888387977,-723581.3002805
,,February,127204.82918069999,46.49717050889603,988587.7016591999,10.094595057615123,-861382.8724784999
,,March,158172.4021351,57.201767997024376,1145566.242292,11.195981294979248,-987393.8401569
,,April,188195.07030179998,65.16161904462575,1309532.840632,12.178062985761912,-1121337.7703302
,,May,217911.0597902,72.70827828534615,1474188.300009,13.107019276808145,-1256277.2402188
,,June,247570.2134624,77.77337418759585,1644797.5886638002,13.145273652070832,-1397227.3752014001
,,July,277030.2020329,81.80148379459801,1804122.7348253,13.254182140052162,-1527092.5327924
,2025/26,August,23932.4408342,95.74801506771905,143040.66882999998,11.422243666640128,-116150.9738414
,,September,47317.6627153,88.56840179994339,305155.099143,16.23068731794031,-257837.43642770004
,,October,72782.8049226,89.6436626062918,468083.3216557,19.7902853576946,-395300.5167331
,,November,93495.77620609998,77.50999604482826,609451.2337013,18.711615146429338,-515955.4574952
,,December,116509.03652319999,58.17186778276252,766189.1937528001,15.82802779083876,-649680.1572296001
,,January,142018.0163942,43.758576826122635,939022.8846156,14.184887462946122,-797004.8682214
,,February,168145.82384929998,32.18509464797245,1123486.214686,13.645578718043197,-955340.3908367001
,,March,191112.0306038,20.825142707616735,1289250.2329046999,12.542617380660872,-1098138.2023009
,,April,222936.224179,18.460182735651472,1490498.8670557,13.819128532611913,-1267562.6428767
,,May,248962.67034920002,14.249671672881519,1692642.6427173,14.818618673541636,-1443679.9723681
,* % change Y on Y.,,,,,,
