Annex 19,,,,,,,,,,,,,,,,,,
Monetary Statistics (B),,,,,,,,,,,,,,,,,,
(Rs. In Million),,,,,,,,,,,,,,,,,,
"Fiscal 
Year",Mid-Month,"Net Foreign
 Assets",% Change (Y on Y),"Net Domestic
 Assets","% Change 
(Y on Y)","Domestic
 Credit",% Change (Y on Y),Claims on Government,% Change (Y on Y),General Government Deposits,% Change (Y on Y),"Claims on
 Private Sector",% Change (Y on Y),,,,,
,January,1012200.6977463202,0.6844972918618133,2281805.55126446,29.68585917777323,2995078.907300748,28.479037534485702,371876.40831588,1.7348561610114803,178750.0000569402,,2752212.360349748,23.186503197931827,,,,,
,February,1031472.867693829,2.6576864623287397,2294441.964877118,28.484405457501616,3039234.8852378377,27.777925745809334,372219.10731588,1.8169675495837798,179747.10039717003,-40.409978696774644,2797554.404597815,22.797243473984892,,,,,
,March,1005578.125671429,0.24691131912593967,2348980.7790523907,28.783402088011922,3114627.3728445875,28.091520121647672,372096.90731587994,3.504267603525544,131944.40473655998,-51.84955305483269,2825323.0387634817,22.402475506605043,,,,,
,April,994479.826374782,-2.3064582820179065,2388505.7510702517,28.701824049482504,3119138.8402484576,27.17866414433196,372102.60214588,0.4812507515738153,144921.60423761987,-49.79125935153919,2842997.3065938028,21.868239763842166,,,,,
,May,1001774.4521331531,-2.7604699888154345,2406734.8797515593,28.695979071140187,3162151.7780568283,26.032404281501464,374376.90518587996,0.8880541237189306,137107.00472289955,-49.1268507241849,2873425.8362927265,21.27338620943934,,,,,
,June,968852.0832154546,-7.413087765986437,2471641.825935437,30.032078615294143,3224406.917064357,25.06351977767613,424594.90466387995,14.424168149246293,164543.59836656955,-33.78116941121389,2915038.2898802687,20.5940790302795,,,,,
,July,984783.1075074064,-6.592918217698668,2597354.5422567977,27.310383420809693,3417982.9569227807,24.02451409269277,441199.50541387993,21.835200924521214,65653.69996737923,-26.642109111495532,2910275.9432925903,19.13767043802971,,,,,
2019/20,August,1010953.041463849,-2.5962452842930053,2558133.3801243342,25.9142511966237,3376722.466460404,23.46603645907487,441082.60541387997,21.79336757868171,137536.10097457003,-2.7786710740297167,2942605.374323495,18.96267350071539,,,,,
,September,1017359.5226966743,-3.770068416409707,2558736.0418464076,25.338065749830335,3414069.7170967446,22.562303406481217,441055.39953587996,21.781822142581365,175870.29927345007,6.71806201259213,3016243.6188059105,19.656498593996577,,,,,
,October,1020773.6677751009,-4.929697243699868,2675917.505896336,25.692642558340683,3495846.8370932215,21.514139303160494,441060.2995358799,21.783172978806007,121273.60036778977,-16.494684352585264,3038149.0197461816,15.944594570453974,,,,,
,November,1040272.2221347867,1.145749731701323,2654007.683173679,22.133039320390452,3499089.5032042055,20.75877585400004,440210.29949588,21.548475751511496,150299.40217035994,-11.380329681625337,3074722.5113475164,15.324794205341366,,,,,
,December,1026258.0599349339,1.527378145721005,2685146.156106245,19.767697423576184,3536544.498924806,17.3263894216986,440290.69949588,18.542667343311685,163337.1048375401,36.82082060251343,3124115.73500937,14.793587614490816,,,,,
,January,1031945.2794796961,1.950658775214985,2738614.941808941,20.019645858576347,3509019.7708766824,17.159509965602638,439642.53079588,18.22275384095836,241779.8997662198,35.26148234360932,3162766.8087829994,14.917251820679958,,,,,
,February,1028386.098918079,-0.29925835884092244,2755027.4366571694,20.07396477359665,3547336.720114767,16.718083796184366,439643.50000588,18.114167533259106,241312.2031251102,34.25095736838348,3186715.670681004,13.910766684057958,,,,,
,March,1068228.4094179187,6.230275117078327,2775061.822512583,18.138975306221056,3609826.251654762,15.899137185001667,426479.20000588003,14.615088602129648,213945.80010196034,62.14844466434498,3238366.883464281,14.619349328690227,,,,,
,April,1084639.601416822,9.066023528169813,2816379.146564053,17.9138524285352,3753168.01338777,20.32705838412785,470131.90000588004,26.344695601340735,162307.30218291996,11.996622613143119,3280363.1273459354,15.383968874600907,,,,,
,May,1161903.9867559471,15.984589573213636,2796282.110807699,16.185714277608827,3791257.4911217154,19.89486138617541,550081.90000588,46.93264792409181,204332.9997030097,49.031772750033745,3292425.344886634,14.58188004373545,,,,,
,June,1227505.0588745445,26.696848790443305,2816578.6317370385,13.955776366223862,3866983.0503828656,19.92850622909401,585202.2000058801,37.82600628925138,164504.80004827,-0.02357935445967181,3294761.356115148,13.026349175347395,,,,,
,July,1328349.04034554,34.887472197582326,2902620.7440691497,11.752966214119978,3897627.871115015,14.03298144657982,602216.1000058801,36.49518927745712,140812.00136667996,114.4768709709338,3276891.9931538226,12.597295136434896,,,,,
2020/21,August,1373768.0057925372,35.88840919884232,2870768.6607987303,12.221226739131206,3838855.9587409166,13.685859494545216,602281.70000588,36.54623705705703,196556.6002976,42.9127326605999,3276076.464508246,11.33251142319469,,,,,
