Table 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Aggregates,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,,2025/26,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Amount,,Percent,Amount,,Percent,,,,,,,,,,,,,,,,,,,,,,,
d. Claims on Private Sector,5202494.718445175,5598053.771214721,5624689.864515061,5959959.266465373,395559.05276954547,,7.6032571713549535,335269.4019503128,,5.960673566474379,,,,,,,,,,,,,,,,,,,,,,,
2.2 Net Non-Monetary Liabilities,1573252.8888885342,1752820.5080333827,1775392.541658587,2214948.044148395,116557.02869361575,1/,7.408664526652197,143474.36920043046,2/,8.081275877524835,,,,,,,,,,,,,,,,,,,,,,,
3. Broad Money (M2),6974063.854698937,7436923.740555566,7845605.526333061,8563792.428953147,462859.8858566284,,6.636874790654029,718186.9026200855,,9.154002201736457,,,,,,,,,,,,,,,,,,,,,,,
"3.1 Money Supply (a+b), M1+",3311483.469463664,3927584.260601002,4313321.181067573,5498759.060894735,616100.7911373377,,18.604978609092164,1185437.8798271623,,27.483181290333665,,,,,,,,,,,,,,,,,,,,,,,
a. Money Supply (M1),948807.2803253327,1019546.1046421537,1157186.058711573,1225469.0427542785,70738.82431682106,,7.4555524376421,68282.9840427055,,5.900778317251136,,,,,,,,,,,,,,,,,,,,,,,
i. Currency,581729.0778972514,653983.6636213767,655249.8402916868,704400.3926839366,72254.58572412538,,12.42065911253751,49150.55239224981,,7.501039965209341,,,,,,,,,,,,,,,,,,,,,,,
ii. Demand Deposits,367078.19453528494,365562.44081851636,501936.2191181063,521068.578645639,-1515.7537167685805,,-0.4129239326480561,19132.35952753271,,3.811711288965748,,,,,,,,,,,,,,,,,,,,,,,
b. Saving and Call Deposits,2362676.1891383315,2908038.1559588476,3156135.1223560004,4273290.018140457,545361.9668205162,,23.082382991272695,1117154.8957844563,,35.39629491371458,,,,,,,,,,,,,,,,,,,,,,,
3.2 Time Deposits,3662580.3852352733,3509339.479954564,3532284.3452654877,3065033.3680584114,-153240.90528070927,,-4.183960190975181,-467250.97720707627,,-13.228011437792603,,,,,,,,,,,,,,,,,,,,,,,
4. Broad Money Liquidity (M3),7047815.317487207,7518235.744322394,7928316.443174149,8663844.616956435,470420.4268351868,,6.674698550456741,735528.1737822862,,9.277230280276417,,,,,,,,,,,,,,,,,,,,,,,
1/ Adjusting the exchange valuation gain/loss of  Rs.,63010.5904512328,million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/ Adjusting the exchange valuation gain/loss of Rs.,296081.1332893773,million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R = Revised, P = Provisional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorandum Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money multiplier (M1),0.9512770104646476,0.9781783189534617,0.9993413320030513,1.0791148786880222,0.026901308488814113,,2.8279153383170974,0.07977354668497094,,7.982612559922356,,,,,,,,,,,,,,,,,,,,,,,
Money multiplier (M1+),3.320103207844648,3.7682236753101104,3.72496721853389,4.8420584363320245,0.4481204674654622,,13.497184858791602,1.1170912177981345,,29.989289898712464,,,,,,,,,,,,,,,,,,,,,,,
Money multiplier (M2),6.992217231103839,7.135172729903204,6.775434095521194,7.5410438825194985,0.1429554987993651,,2.0444945297673076,0.7656097869983043,,11.29978944824214,,,,,,,,,,,,,,,,,,,,,,,
