,Annex 7,,,,,,,,
,Balance of Payments Indicators (Monthly Series),,,,,,,,
,(Rs. in million),,,,,,,,
,Fiscal Year,Mid-Month (Cumulative),"Current A/C 
Balance",Balance on Goods,"Services
Net",Workers' Remittances,,Net Direct Investment in Nepal,"BOP
(-Deficit)"
,,,,,,Amount,% Change*,,
,,February,-104388.65424481279,-711321.6939785071,-35369.41803005642,567890.3744500056,10.929208171832983,9017.492,97364.09537399112
,,March,-151419.1837722765,-836548.6240971249,-43359.108483455406,642332.3822532331,8.650332075182021,10183.576000000001,68009.65814191857
,,April,-210513.39115335734,-986805.9270381207,-53257.999905284276,729219.2512389084,16.54285631426704,12353.384000000002,42536.7339068003
,,May,-251288.85798388848,-1112622.8144599404,-59966.66267978899,810257.5545192512,19.211457561059685,14083.174000000003,7754.046048959763
,,June,-298107.1658623259,-1224893.3817563837,-63888.26496514087,871302.5267751863,12.621075429189244,16201.348000000002,-15147.420894667814
,,July,-333671.93453037995,-1355456.9390056308,-72852.52361557902,961054.5772737779,9.831425172734122,19512.715000000004,1226.714971320098
,2021/22,August,-47294.735027649105,-124551.18334614908,-10128.617705476336,76625.35229512485,-17.378615590123214,480.572,-38745.25685372174
,,September,-106077.09281391307,-259418.91881477137,-17520.04437528899,156156.3009639245,-5.799685239044683,3043.145,-94804.53440566207
,,October,-149809.42583647376,-396296.96928444225,-23335.448190522256,240641.12645575567,-7.0671965111103745,5070.734,-87707.2821759922
,,November,-220906.70716283226,-544251.5053603647,-30786.822466178302,314011.57512667205,-7.047116082207205,6628.723,-150375.771344078
,,December,-298506.1620299491,-705389.0687423282,-38130.93557687111,390510.10762716323,-6.343872892319635,7065.386,-195008.8863984911
,,January,-352158.5323689,-846072.3861898424,-46233.03406665071,470719.577817081,-4.99561272535316,11344.237000000001,-249255.77845143992
,,February,-411341.76163609116,-978174.2505197274,-55087.71780964371,542856.3248659568,-4.408253900815618,16285.238000000001,-253624.36397894076
,,March,-460714.9802260967,-1119445.701815552,-66248.81222827044,633926.2614204776,-1.308687069966441,16295.612000000001,-264365.36660281563
,,April,-510578.31620872114,-1262325.6628625535,-79279.58121744206,727479.3138629925,-0.2386027759086029,16511.34,-270392.9989058379
,,May,-545060.900379361,-1385122.2005629113,-88178.53657297323,814530.0745509487,0.5273039427855064,16646.841,-292244.47076990525
,,June,-592140.3823332962,-1525635.6094255487,-99501.95760258927,906917.2717725396,4.087529176481164,17350.054,-272677.0010335534
,,July,-623376.5267471734,-1661975.3903993983,-108117.49293182897,1007306.8741835592,4.812660800283064,18560.309,-252362.75099644452
,2022/23R,August,-12130.940264753881,-109099.09873675971,-10153.793630416782,94498.75590496678,23.325704971641727,-1397.726,-18920.090474534845
,,September,-30225.608455726004,-229849.25958818005,-18199.373780124646,192356.55833367683,23.1820663952045,809.682,-20509.651420131308
,,October,-23775.820286393748,-335986.25187055365,-22194.160007394574,290338.91689218703,20.652243100918483,81.11000000000013,17420.038626377624
,,November,-22902.793724714196,-447129.190467427,-24920.40387748398,388150.5064039519,23.61025425491792,506.797,21388.07929142692
,,December,-24424.124634580687,-560869.3452719534,-28606.569495884614,493970.1256006564,26.4935570047449,682.6970000000001,47267.5183370356
,,January,-17219.925091825542,-672537.3180943483,-33428.10219597875,600133.1961298212,27.492720594474534,828.3940000000002,92146.98544901221
,,February,-19977.785816845368,-784918.1037393748,-41177.40374275751,706211.5291195232,30.091793495065644,1115.038,128545.44458134343
,,March,-32806.53374380199,-910060.5350713567,-52361.64097860329,812329.8152686146,28.142634988551663,1259.0790000000002,142009.92078172747
,,April,-35216.401583102765,-1038126.8292438816,-59952.287656457804,923522.2012891383,26.948242196075284,2830.2240000000006,174278.75638199557
,,May,-38214.91786916857,-1158029.5970852613,-61919.10376875813,1025310.7347834685,25.87757859631192,4564.786,209492.9382512133
,,June,-53336.7497807208,-1286858.585069085,-73189.762241471,1132653.0327621617,24.89044679328127,4856.683000000001,224899.8701281896
,,July,-45918.16237007268,-1399162.5231316942,-79885.8973743876,1240686.4144137052,23.16866351371864,6170.529,285823.24604839983
,2023/24R,August,13381.998231113103,-109475.62577275859,-11252.959533763295,116019.12383583808,22.773175926795687,2646.181,36434.540438301
,,September,23987.59181514557,-219861.28297237746,-25228.378106906166,228402.06930436508,18.738904086732973,2998.066,55101.60871103372
,,October,59785.532113580615,-344351.6260346166,-29394.769925469896,365370.01024988224,25.84258912337158,3370.956,101656.97589120988
,,November,96802.50265114172,-432393.8721281101,-27894.065471745183,477995.3290055948,23.146903358188723,3641.011,150238.22550153706
,,December,140676.99127989798,-544142.3344795526,-26548.10692909524,613284.3308550316,24.154133837404018,3924.614,216048.71162667114
,,January,162479.94177311263,-655183.8089202967,-35426.91079465654,733255.3794908565,22.182106275660544,4529.467,273520.6173368634
,,February,162690.13130562636,-772160.7661525314,-36382.20256317934,839030.7031429309,18.80727919990224,5182.574,297722.73185375764
,,March,167474.61286964547,-889514.7729369954,-43627.36096719735,961252.791780428,18.332821683095403,5625.612999999999,327554.22831699305
,,April,179948.93991294387,-1011938.5158322419,-50730.10680386871,1082646.0929733769,17.230110057139797,6481.634999999999,365163.7818503118
,,May,193283.14749473403,-1134094.9883745692,-50313.28033288401,1198633.7206568401,16.904434918451813,6977.869,392639.19555106387
,,June,201429.06753873988,-1267597.5181982531,-56357.64832993145,1327538.8181027998,17.206132831814955,8162.181999999999,425670.8896004348
,,July,221706.88654475892,-1387747.2549162495,-55857.55800954567,1445315.0904247544,16.49318261518546,8400.744999999999,502491.0804746291
,2024/25R,August,33084.472477237316,-107400.41982353399,-15062.349113079834,136602.8815465613,17.74169380890025,740.7188119200001,40899.65226590531
,,September,54409.92037611193,-220441.0527232722,-27925.798273298526,264597.73953712214,15.847347768344108,34.633897550000256,101773.95491621018
,,October,115356.94502221199,-327487.1328798494,-23010.07375178639,408767.9207382788,11.877797649214841,2130.95393783,184989.0782054057
,,November,147776.05674920056,-429440.62026134954,-22371.657216114334,523073.0654914767,9.430580959788898,3016.3001417700007,205833.39602220064
,,December,158449.66770517628,-552327.3687029182,-26665.282153568347,641866.4628261876,4.660502565149045,3281.2548592600006,225341.7582716712
,,January,165674.21688022022,-683614.914835658,-29472.409196770706,764307.9792773058,4.234895597767178,3735.4958209800016,249264.07387258377
