,Annex 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Government Budgetary Operations (Monthly Series),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Based on FCGO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rs. in Million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year,Mid-Month,Total Resources of GoN,,,,,,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tax Revenue,Non Tax Revenue,Total Revenue,Other Receipts,Grants,Total Receipts of GON,Recurrent,Capital,Financing,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,
,2024/25,August,77412.7,17330.3,94743,2214.1,0,96957.1,12382.2,8554.8,19270.6,40207.6,,,,,,,,,,,,,,,,,,,,,,
,,September,145193.3,21194.3,166387.6,3130.3,0,169517.9,82986.5,14894,39672.2,137552.7,,,,,,,,,,,,,,,,,,,,,,
,,October,219682.9,28577.1,248260,4753.3,0,253013.3,229852.1,29374.6,69974.4,329201.1,,,,,,,,,,,,,,,,,,,,,,
,,November,289899.5,33340.5,323240,5775.5,0,329015.5,292526.7,34531,87962.4,415020.1,,,,,,,,,,,,,,,,,,,,,,
,,December,362580.5,37018.4,399598.9,6174.1,0,405773,363551.4,40800.6,151765.7,556117.7,,,,,,,,,,,,,,,,,,,,,,
,,January,489399.2,70208.2,559607.4,7789.9,7370.6,574767.9,452003,56935,158663.9,667601.9,,,,,,,,,,,,,,,,,,,,,,
,,February,565643.6,77210.3,642853.9,8055.7,8826,659735.6,522625.3,68415.9,163812.2,754853.4,,,,,,,,,,,,,,,,,,,,,,
,,March,638799,81547.7,720346.7,9312.1,9162.5,738821.3,584127.8,82336,172892.2,839356,,,,,,,,,,,,,,,,,,,,,,
,,April,744153.9,87250.6,831404.5,9762.8,14377.2,855544.4,678090.3,102900.8,217530.1,998521.2,,,,,,,,,,,,,,,,,,,,,,
,,May,828941.8,93490.1,922431.9,11209.4,16118.9,949760.2,773226.7,120376.4,264289.4,1157892.5,,,,,,,,,,,,,,,,,,,,,,
,,June,918001.5,98083.7,1016085.3,11584.5,17085.4,1044755.2000000001,851581.9,143388.8,287973.6,1282944.3,,,,,,,,,,,,,,,,,,,,,,
,,July,1049875.4,128944.8,1178820.2,17369.7,23528.7,1219718.6,980382.1,222682.3,320042.4,1523106.8,,,,,,,,,,,,,,,,,,,,,,
,2025/26,August,80670.7,3795,84465.7,308.9,421.9,85196.5,18479.8,726.3,27100,46306.1,,,,,,,,,,,,,,,,,,,,,,
,,September,150401.3,7132.1,157533.4,1178.3,1273.6,159985.3,114187.2,6353.3,59629.9,180170.4,,,,,,,,,,,,,,,,,,,,,,
,,October,234328,14723.4,249051.4,2129.2,2007.3,253187.9,256806,19183.4,88600,364589.4,,,,,,,,,,,,,,,,,,,,,,
,,November,306892.10966431,19658.1,326550.16276855,2964.2634950100005,3488.9,333003.4,320992.2,25313.4,122583.8,468889.4,,,,,,,,,,,,,,,,,,,,,,
,,December,382231,24072.7,406303.7,3478,5121,414902.7,398047.2,33874.3,132539.7,564461.2,,,,,,,,,,,,,,,,,,,,,,
,,January,516115.1,61284.8,577399.9,4007.4,7106.9,588514.2,487143.1,49425.4,153646.9,690215.4,,,,,,,,,,,,,,,,,,,,,,
,,February,599314.6,65710.3,665024.9,4304.5,12837.9,682167.3,562371.5,63729.9,175273.5,801374.9,,,,,,,,,,,,,,,,,,,,,,
,,March,676585.7,70694.8,747280.5,4576.1,13245,765101.6,642145.4,78488.8,205952.3,926586.5,,,,,,,,,,,,,,,,,,,,,,
,,April,798771.9,87511.7,886283.6,5279.4,15614.1,907177.1,747524.4,96195.1,216237.7,1059957.2,,,,,,,,,,,,,,,,,,,,,,
,,May,893564.7,94987.5,988552.2,5712.6,17787.6,1012052.4,814655.5,113849.2,245015.4,1173520.1,,,,,,,,,,,,,,,,,,,,,,
,"Source: Ministry of Finance (MoF), FCGO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
