,Annex 8,,,,,,,,,,,,,,
,Direction of Foreign Trade (Annual Series),,,,,,,,,,,,,,
,Fiscal Year,Nepali Year,Rs. in million,,,,Ànnual Percent Change,,,,As percent of GDP,,,,
,,,Exports,Imports,Trade Balance,Total Trade,Exports,Imports,Trade Balance,Total Trade,Exports,Imports,Trade Balance,Total Trade,
,2009/10,2066/67,60824,374335.2,-313511.2,435159.2,-10.153255290077183,31.590581207974452,-44.627099151597484,23.566113927166967,5.0993752152715555,31.383592678609112,-26.284217463337562,36.48296789388067,
,2010/11**,2067/68,64338.5,396175.5,-331837,460514,5.77814678416415,5.834423265565178,-5.845341410450404,5.826557269155757,4.117187111925591,25.35229547876741,-21.23510836684182,29.469482590693,
,2011/12,2068/69,74261,461667.7,-387406.7,535928.7,15.422336548101057,16.53110805690912,-16.746083167338185,16.376201374985328,4.2232642956160165,26.255298391472863,-22.032034095856847,30.47856268708888,
,2012/13,2069/70,76917.06013,556740.2834300001,-479822.7627869999,633657.3435600001,3.576655485382645,20.59329327782733,-23.85505020615284,18.23538160206762,3.9458915808850548,28.561112364578833,-24.61519715909909,32.507003945463886,
,2013/14,2070/71,91991.399912,714365.8078070001,-622374.4078950002,806357.207719,19.598174652700422,28.3122182942989,-29.709229357941265,27.254456357870225,4.120508761568809,31.998106049584603,-27.8775972880158,36.118614811153414,
,2014/15,2071/72,85319.115036,774684.194979,-689365.079943,860003.310015,-7.253161580737739,8.44362741228737,-10.763725371449029,6.652895488806081,3.520290490508399,31.963686022540617,-28.443395532032216,35.483976513049015,
,2015/16,2072/73,70117.1470804,773599.1433694118,-703481.9725654118,843716.2904498118,-17.81777500761183,-0.14006373392160754,-2.0478108092709144,-1.893832195239355,2.6883507955284935,29.660446254503476,-26.972094549392068,32.34879705003197,
,2016/17,2073/74,73049.054353915,990113.2039141877,-917064.146037503,1063162.2582681028,4.181441196050258,27.987887835778707,-30.360717374634888,26.0094501317851,2.3739231095531186,32.17635925111191,-29.80243602707703,34.55028236066503,
,2017/18,2074/75,81359.796,1245103.223,-1163743.427,1326463.019,11.376932555239307,25.753622724933578,-26.89880332017789,24.765811491541825,2.354195307186394,36.027820971297096,-33.6736256641107,38.3820162784835,
,2018/19,2075/76,97109.52102,1418535.3429599998,-1321425.82194,1515644.86398,19.35814437032171,13.929128431982747,-13.549584150733942,14.262121972605385,2.516488013361744,36.759806346420284,-34.24331833305854,39.27629435978203,
,2019/20,2076/77,97709.10519780999,1196799.0528586246,-1099089.9476608145,1294508.1580564347,0.617439861941449,-15.631354636444028,16.825452521638457,-14.590271361151142,2.5126395315531087,30.776298743602652,-28.26365921204954,33.288938275155765,
,2020/21,2077/78,141124.0806005694,1539837.0708099494,-1398712.99020938,1680961.151410519,44.432886080439204,28.662958675640525,-27.26101200236169,29.853268281777524,3.24233088159128,35.37781267420362,-32.13548179261234,38.6201435557949,
,2021/22R,2078/79R,200030.9620184,1920448.3528256002,-1720417.3908072,2120479.314844,41.74119777173487,24.717633361535885,-23.00002947150171,26.14683645258299,4.0194643416070175,38.58989426532067,-34.570429923713654,42.60935860692769,
,2022/23R,2079/80R,157140.6956762,1611731.7722593,-1454591.0765832,1768872.4679355,-21.441813761938867,-16.075234729019307,-15.45126872376461,-16.581479689386512,2.938017830746148,30.134120667477138,-27.196102836732855,33.07213849822329,
,2023/24R,2080/81R,152380.6056203,1592985.5310723002,-1440604.925452,1745366.1366927,-3.0291898832550235,-1.1631117230332833,-0.9615177321211865,-1.3288878462919929,2.671073837853479,27.923382761247584,-25.2523089233941,30.59445659910281,
,2024/25P,2081/82P,277030.2020329,1804122.7348253,-1527092.5327924,2081152.9368582,81.80148379459801,13.254182140052162,6.003561824090231,19.23875988575685,4.536109169165798,29.540814032867168,-25.00470486370137,34.07692320203296,
,*(-Deficits),,,,,,,,,,,,,,
,"** Since 2010/11, GDP based on data published by CBS following SNA 2008.",,,,,,,,,,,,,,
