Annex 4,,,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSIC),,,,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,"Agriculture, forestry & fishing",% Growth,Manufacturing,% Growth,Construction,% Growth,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,% Growth,Transportation and Storage,% Growth,Accommodation and Food Service Activities,% Growth,Information and communication,% Growth,Financial and insurance activities,% Growth,Public Administartion and Defence,% Growth,Education,% Growth,Human Health and Social Work Activities,% Growth,Overall Index,% Growth
2007 April,2063 Chaitra,15.430037466115335,10.998696208309473,19.062794824206424,9.08048002524833,18.281135664680228,5.712036504123023,-,-,-,-,-,-,18.29901020958269,5.527108140968491,9.82233053570617,3.027325193633188,16.77429619761415,10.911560127394075,18.762933567634036,7.017679301796306,-,-,17.099884770580502,9.434596442550268
2007 July,2064 Asadh,15.687479542489653,11.38766334897986,20.25232662228671,15.673315248763336,19.59462193789121,10.262251224267748,-,-,-,-,-,-,18.30891654732148,5.527108140968473,9.824338655466013,3.0273251936331844,16.77429619761415,10.911560127394075,18.92347097226501,7.017679301796319,-,-,17.691176820417287,12.370893072730391
2007 October,2064 Asojh,15.785402734755912,8.260627940650153,20.547472654894356,14.837424578224212,19.937090246387154,10.344549028090695,-,-,-,-,-,-,18.230918947652192,0,14.660451629428394,50.49035504259067,19.328845301767863,15.228949543153142,21.202532306498615,14.775118156625098,-,-,18.25266330309244,11.937507883100608
2008 January,2064 Poush,16.306519020566036,6.492404564475472,20.44967303397739,8.439942988974801,20.090485176343883,10.2746850577612,-,-,-,-,-,-,18.24085176919808,0,14.761008831771221,50.49035504259065,19.328845301767863,15.228949543153142,21.464011949628077,14.775118156625085,-,-,18.50866831451231,9.084307968491176
2008 April,2064 Chaitra,16.36498391778902,6.059262355822817,20.800120724840138,9.113699836015718,20.296078502571028,11.02197847469475,-,-,-,-,-,-,18.29901020958269,0,14.781660096641012,50.49035504259065,19.328845301767863,15.228949543153142,21.535179171901035,14.775118156625084,-,-,18.67029612147984,9.183753995823132
2008 July,2065 Asadh,18.3913824738614,17.23605709921855,20.847956005721098,2.9410417605003834,21.318187374782774,8.796114782692548,-,-,-,-,-,-,18.30891654732148,0,14.78468212319728,50.49035504259065,19.328845301767863,15.228949543153142,21.719436167751816,14.77511815662508,-,-,19.672002487117954,11.196686838914005
2008 October,2065 Asojh,18.798046359058997,19.084996910911368,20.96507831109294,2.032394266742643,21.961088387709882,10.151923456781772,-,-,-,-,-,-,18.230918947652192,0,14.660451629428394,0,19.328845301767863,0,21.202532306498615,0,-,-,19.898537607787304,9.017173424855832
2009 January,2065 Poush,19.998359483005235,22.64027324153605,21.6221058605761,5.733259522784039,23.21798181266929,15.56705380120918,-,-,-,-,-,-,22.368762276249367,22.630031531870515,14.761008831771221,0,25.01652305018837,29.42585374150776,23.379004337328652,8.921875333440438,-,-,21.35864645491636,15.39807236250182
2009 April,2065 Chaitra,20.78065867774977,26.982457068966852,23.27684553853328,11.907261724377214,24.10116461634271,18.747888235107435,-,-,-,-,-,-,22.44008199003145,22.630031531870483,17.46493143098959,18.152706237361834,25.04216954558399,29.55853882949528,25.000121323760194,16.089683416148183,-,-,22.453597204585936,20.263744391035534
2009 July,2066 Asadh,22.19703173712841,20.692567666817645,23.553149539910173,12.975821387222396,25.377753005070947,19.04273360074798,-,-,-,-,-,-,22.452230135124186,22.630031531870493,17.468502037149033,18.152706237361837,25.04216954558399,29.55853882949528,25.21402468691547,16.089683416148176,-,-,23.266736790697255,18.273352221937156
2009 October,2066 Asojh,22.72369604437641,20.883285477299598,23.887584526709386,13.939877410665819,25.272908585712514,15.080401023548685,-,-,-,-,-,-,30.53291180971326,67.4787315844292,17.543404713838317,19.664831324997376,28.44263232569796,47.15122337440679,30.12743371162437,42.09356352396764,-,-,24.307729509780277,22.158371579363866
2010 January,2066 Poush,24.14199477980955,20.719876049461007,24.179846108103202,11.829283715563841,26.215619912376365,12.910846962897363,-,-,-,-,-,-,30.549547173248857,36.57236281546815,17.663736320406997,19.664831324997373,28.44263232569796,13.695385520346301,30.498979454436782,30.454569469153352,-,-,25.14591037510255,17.731759960446514
2010 April,2066 Chaitra,24.859114808209025,19.62621201620588,24.257983669568205,4.215082019643578,27.089164378526977,12.397740149694423,-,-,-,-,-,-,30.646950191514282,36.57236281546816,17.688448621679914,1.2798057156623972,28.44263232569796,13.57894640048716,30.60010349662545,22.399819986245493,-,-,25.57804407567194,13.915128353900752
2010 July,2067 Asadh,27.53175735742977,24.033509000115995,24.390587405343222,3.555523918421328,28.7750820476828,13.387036440669137,-,-,-,-,-,-,30.663541200305684,36.572362815468175,17.692064924661068,1.2798057156623925,28.44263232569796,13.57894640048716,30.861920828072034,22.399819986245497,-,-,26.95889203137984,15.868814238526221
2010 October,2067 Asojh,29.400126893979124,29.380919532476213,25.232093135276127,5.628482892706913,30.099594338366206,19.0982598472356,-,-,-,-,-,-,30.53291180971326,0,17.543404713838317,0,28.44263232569796,0,30.12743371162437,0,-,-,28.103699731325328,15.61630928967567
