Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2009 October,2066 Asojh,30.972367011460392,51.26244334082018,-,-,30.582980795636367,30.806084206588075,27.21696564265154,6.5123745486655675,26.720203116618993,35.93919492886316,-,-,-,-,24.015026692473,14.69554808578092,-,-,23.00098082032174,20.036606457459758,24.307729509780277,22.158371579363866
2010 January,2066 Poush,30.972367011460392,17.822535712761677,-,-,30.882134905321788,20.126799804633333,27.277155512786415,3.867889700111123,27.005508423561402,19.361126638803324,-,-,-,-,24.570186423619692,13.53032735308371,-,-,24.118959057639426,18.813327550857174,25.14591037510255,17.731759960446514
2010 April,2066 Chaitra,30.972367011460392,17.822535712761677,-,-,30.97597108238818,14.800539498144452,27.408810949941618,2.7868764634005125,27.053310852824445,14.352653160737464,-,-,-,-,24.932712284606218,7.04172127505312,-,-,24.752670063442178,15.99780208128495,25.57804407567194,13.915128353900752
2010 July,2067 Asadh,30.972367011460392,17.822535712761677,-,-,31.207210233016077,14.800539498144449,27.41127750863531,2.7868764634005045,27.17343257580759,14.352653160737447,-,-,-,-,25.281663891560125,6.680379124492672,-,-,26.917448027830826,19.279897503749062,26.95889203137984,15.868814238526221
2010 October,2067 Asojh,30.972367011460392,0,-,-,30.582980795636367,0,27.21696564265154,0,26.720203116618993,0,-,-,-,-,27.017344243016083,12.501828913161672,-,-,28.381147185059795,23.391030177220056,28.103699731325328,15.61630928967567
2011 January,2067 Poush,30.972367011460392,0,-,-,30.882134905321788,0,27.277155512786415,0,27.005508423561402,0,-,-,-,-,26.831597604371208,9.203882875620296,-,-,28.6059611052942,18.60363060002609,28.274522750412125,12.441833795793988
2011 April,2067 Chaitra,30.972367011460392,0,-,-,30.97597108238818,0,27.408810949941618,0,27.053310852824445,0,-,-,-,-,29.772299585936487,19.410592983573206,-,-,33.78376627324092,36.485341527405524,31.908329180639527,24.74890216874915
2011 July,2068 Asadh,30.972367011460392,0,-,-,31.207210233016077,0,27.41127750863531,0,27.17343257580759,0,-,-,-,-,30.234598122672715,19.591013678360174,-,-,33.98168290586016,26.244073623641412,32.110983634416584,19.11091745550881
2011 October,2068 Asojh,40.32222555958479,30.187742979620385,-,-,36.19644033227494,18.354847665599394,32.003965520382835,17.588293789185723,31.57682092343483,18.175826679233577,-,-,-,-,34.47597870972941,27.606838035686526,-,-,38.09930768700366,34.24160566370492,36.49854914134222,29.870976029037582
2012 January,2068 Poush,40.32222555958479,30.187742979620385,-,-,36.5505037230785,18.35484766559939,32.07474176170836,17.588293789185727,31.91398282847375,18.17582667923359,-,-,-,-,36.14197765315747,34.69931304899072,-,-,38.894437457176004,35.966197094414994,37.33940583651286,32.06025143596317
2012 April,2068 Chaitra,40.32222555958479,30.187742979620385,-,-,36.66156338750065,18.35484766559939,32.22955314393986,17.588293789185737,31.970473744428105,18.17582667923358,-,-,-,-,37.85407161953745,27.145273109567064,-,-,40.710672257302676,20.503652340113256,38.69900654021523,21.281833094839598
2012 July,2069 Asadh,40.32222555958479,30.187742979620385,-,-,36.93524613196952,18.354847665599383,32.23245352822308,17.588293789185734,32.11242858358477,18.17582667923358,-,-,-,-,38.95465873103349,28.84133128867905,-,-,42.66955199369651,25.566329695631758,40.0880377962024,24.84213580189428
2012 October,2069 Asojh,40.32222555958479,0,-,-,36.19644033227494,0,48.02639621155087,50.063891866661315,34.646143671176624,9.720176566171949,-,-,-,-,39.43463434754614,14.382929284085419,-,-,43.33998398381719,13.755305844051385,41.22696335406523,12.955074445321157
