Table 47,,,,,,,,,,,,,,,,,,,,,
Sectorwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,
9.8 Local Government (VDC/Municipality/DDC),0,0,0,0,0,-,0,-,,,,,,,,,,,,,
9.9 Non Financial Government Institutions,2076.9166128200004,1719.57688031,2020.02583282,1647.07054277,-357.33973251000043,-17.205299928956265,-372.95529005000003,-18.462897057576058,,,,,,,,,,,,,
9.10 Private Non Financial Institutions,2119.931348110002,471.75319493000006,300.94680188,468.46107444000006,-1648.178153180002,-77.7467701795822,167.51427256000005,55.66241990728812,,,,,,,,,,,,,
9.11 Real Estates,175276.66312378008,194109.27038118007,191658.33265272007,193358.8599685001,18832.6072574,10.744503530455988,1700.5273157800257,0.8872702231326082,,,,,,,,,,,,,
9.12 Other Investment Institutions,13379.09289966,27632.811994480002,30528.828252970008,39185.14231502,14253.719094820002,106.53726079727146,8656.31406204999,28.354557175668404,,,,,,,,,,,,,
10. Service Industries,433146.4814990586,467395.3794587299,488550.06520627177,504629.26220903813,34248.897959671274,7.907001308458213,16079.197002766363,3.2912076259733034,,,,,,,,,,,,,
"10.1 Tourism (Trekking, Mountaineering, Resort, Rafting, Camping, etc.)",24862.84178413301,28445.493655887003,28610.335063797505,31254.584286928006,3582.651871753995,14.4096636372451,2644.2492231305005,9.242286807316837,,,,,,,,,,,,,
10.2 Hotel,195709.48060345004,209795.68535172357,222913.5903654174,225716.8387154915,14086.204748273536,7.197507604046659,2803.2483500741073,1.2575493245964966,,,,,,,,,,,,,
10.3 Advertising Agency,2750.0067083599997,2550.9913878700004,2647.55762817,2646.62117165,-199.01532048999934,-7.2369030913631684,-0.9364565199998651,-0.03537058117398362,,,,,,,,,,,,,
10.4 Automotive Services,5482.321019909998,5334.2307312771,5118.9624455571,5665.25240146,-148.09028863289768,-2.7012334391780812,546.2899559029001,10.671888331141039,,,,,,,,,,,,,
